department_raw,department_clean,department_group,count
Imaging Physics,Imaging Physics,Imaging Physics,18
ESHPM,Eshpm,Eshpm,17
Molecular Genetics,Molecular Genetics,Molecular Genetics,17
Public Health,Public Health,Public Health,17
Cardiology,Cardiology,Cardiology,15
Internal Medicine,Internal Medicine,Internal Medicine,15
Erasmus School of Health Policy & Management,Erasmus School of Health Policy and Management,Erasmus School of Health Policy and Management,14
Biomechanical Engineering,Biomechanical Engineering,Biomechanical Engineering,12
Radiology & Nuclear Medicine,Radiology and Nuclear Medicine,Radiology and Nuclear Medicine,12
Surgery,Surgery,Surgery,11
Epidemiology,Epidemiology,Epidemiology,10
Industrial Design Engineering,Industrial Design Engineering,Industrial Design Engineering,10
Clinical Genetics,Clinical Genetics,Clinical Genetics,9
Radiology and Nuclear Medicine,Radiology and Nuclear Medicine,Radiology and Nuclear Medicine,9
Radiotherapy,Radiotherapy,Radiotherapy,9
Rehabilitation Medicine,Rehabilitation Medicine,Rehabilitation Medicine,9
Adult ICU,Adult ICU,Adult ICU,8
Biomechanical engineering,Biomechanical Engineering,Biomechanical Engineering,8
Erasmus School of Economics,Erasmus School of Economics,Erasmus School of Economics,8
Neurology,Neurology,Neurology,8
ESHCC,Eshcc,Eshcc,7
Microelectronics,Microelectronics,Microelectronics,7
Department of Clinical Genetics,Clinical Genetics,Clinical Genetics,6
Developmental Biology,Developmental Biology,Developmental Biology,6
Erasmus School of Social and Behavioural Sciences,Erasmus School of Social and Behavioural Sciences,Erasmus School of Social and Behavioural Sciences,6
General Practice,General Practice,General Practice,6
IDE,Ide,Ide,6
Anesthesiology,Anesthesiology,Anesthesiology,5
Applied Economics,Applied Economics,Applied Economics,5
Bionanoscience,Bionanoscience,Bionanoscience,5
Engineering Systems and Services,Engineering Systems and Services,Engineering Systems and Services,5
Health Care Governance,Health Care Governance,Health Care Governance,5
MMIZ,Mmiz,Mmiz,5
Medical Oncology,Medical Oncology,Medical Oncology,5
TPM,Tpm,Tpm,5
,Unknown,Unknown,4
Biomedical Engineering,Biomedical Engineering,Biomedical Engineering,4
Cell Biology,Cell Biology,Cell Biology,4
ES Health Policy & Management,Es Health Policy and Management,Es Health Policy and Management,4
Health Economics,Health Economics,Health Economics,4
Neuroscie nce,Neuroscience,Neuroscience,4
