institution_raw,institution_clean,count
Erasmus MC,Erasmus MC,207
EMC,Erasmus MC,190
EUR,Erasmus University Rotterdam,122
TU Delft,TU Delft,110
TUD,TU Delft,78
ErasmusMC,Erasmus MC,39
Erasmus University Rotterdam,Erasmus University Rotterdam,33
TU Delft (TUD),TU Delft,11
TUDelft,TU Delft,10
Erasmus MC (EMC),Erasmus MC,9
Erasmus University Rotterdam (ESHPM),Erasmus University Rotterdam,9
Delft University of Technology,TU Delft,7
TU-Delft,TU Delft,7
Erasmus,Erasmus University Rotterdam,6
Erasmus University Rotterdam (EUR),Erasmus University Rotterdam,6
"TU Delft, 3mE",TU Delft,6
Erasmus MC / TU Delft,Multiple core institutions,4
Erasmus MC Transplant Institute,Erasmus MC,4
Rijndam Rehabilitation / ErasmusMC,Erasmus MC,4
Approach ed and interested,Approach ed and interested,3
Erasmus MC / Rijndam,Erasmus MC,3
Erasmus U,Erasmus University Rotterdam,3
Erasmus UR,Erasmus University Rotterdam,3
Microsoft,Microsoft,3
Tu Delft,TU Delft,3
Avegen,Avegen,2
EMC/ TUD,Multiple core institutions,2
EMC; TUD,Multiple core institutions,2
"EUR, ESHPM",Erasmus University Rotterdam,2
"EUR, RSM",Erasmus University Rotterdam,2
Erasmus University,Erasmus University Rotterdam,2
LUMC,LUMC,2
TUDelft; ErasmusMC,Multiple core institutions,2
,Unknown,1
: Samantha,: Samantha,1
Bayer,Bayer,1
Corsano,Corsano,1
"Dept. Medicine University Melbourn e, Melbourn","Dept. Medicine University Melbourn e, Melbourn",1
Dr . Sandra Sülz,Dr . Sandra Sülz,1
Dr. Ernst Huls,Dr. Ernst Huls,1
Duncan arcel,Duncan arcel,1
Dutch Patient Association for patients with bipolar disorder and their relatives,Dutch Patient Association for patients with bipolar disorder and their relatives,1
E r a s m u sMC,Erasmus MC,1
ECM/ TUD,TU Delft,1
EMC & City of Rotterd am,Erasmus MC,1
EMC TUD,Multiple core institutions,1
"EMC, TUD",Multiple core institutions,1
EMC/TUD,Multiple core institutions,1
EUR EMC,Multiple core institutions,1
EUR and Erasmus MC,Multiple core institutions,1
"EUR, LUMC",Erasmus University Rotterdam,1
"EUR, law",Erasmus University Rotterdam,1
EUR/ LUMC,Erasmus University Rotterdam,1
Eramsus MC,Erasmus MC,1
Erasmu sMC,Erasmus MC,1
Erasmus MC (80%),Erasmus MC,1
"Erasmus MC / TU Delft,",Multiple core institutions,1
"Erasmus MC, HollandPTC, TU Delft",Multiple core institutions,1
"Erasmus MC, TU Delft, HollandPTC",Multiple core institutions,1
"Erasmus MC/EUR, ESSB",Multiple core institutions,1
Erasmus University ESHPM,Erasmus University Rotterdam,1
Erasmus University Rotterdam (ESL),Erasmus University Rotterdam,1
"Erasmus University, ESHPM",Erasmus University Rotterdam,1
ErasmusMC ErasmusMC,Erasmus MC,1
"ErasmusMC,",Erasmus MC,1
ErasmusMC/ TU Delft,Multiple core institutions,1
Garvan Institute,Garvan Institute,1
GenomeS can BV,GenomeS can BV,1
HELLP Stichting,HELLP Stichting,1
Health Holland,Health Holland,1
"Human Medicines, Hematology- Oncology Department","Human Medicines, Hematology- Oncology Department",1
Inspired Ambitions,Inspired Ambitions,1
Internal Medicine,Internal Medicine,1
"Koç University School of Medicine ( KUSoM) Koç University Hospital, Istanbul","Koç University School of Medicine ( KUSoM) Koç University Hospital, Istanbul",1
Molecular Genetics,Molecular Genetics,1
PHARMO Institute,PHARMO Institute,1
Prof. Dr. ir. Erik van,Prof. Dr. ir. Erik van,1
Prof. dr. Mark,Prof. dr. Mark,1
Prof.dr. Claartje,Prof.dr. Claartje,1
Public a.vangri,Public a.vangri,1
RIVM,RIVM,1
Rotterdam,Rotterdam,1
Somnox,Somnox,1
Soulve,Soulve,1
Surgery,Surgery,1
TKI Health Holland,TKI Health Holland,1
TNO,TNO,1
TU Delft & Thermo Fisher Scientific,TU Delft,1
TU Delft / Philips,TU Delft,1
TU Delft and Erasmus University Rotterdam,Multiple core institutions,1
"TU Delft, EWI",TU Delft,1
"TU Delft, Erasmus MC (0.8/0.2fte)",Multiple core institutions,1
"TU Delft, TNW",TU Delft,1
"TU Delft, TPM",TU Delft,1
TU Delft/ ErasmusMC,Multiple core institutions,1
TUD EMC,Multiple core institutions,1
"TUD, LUMC",TU Delft,1
TUDelft (80%) Erasmus MC (20%),Multiple core institutions,1
TUDelft TUDelft TU Delft,TU Delft,1
"The Dutch Psychiatric Association (NVvP) is a membership association of, for and by psychiatrists. More","The Dutch Psychiatric Association (NVvP) is a membership association of, for and by psychiatrists. More",1
University,University,1
VGZ,VGZ,1
VSOP,VSOP,1
Voedingscentrum,Voedingscentrum,1
g.roshckupkin@erasmusmc.nl,Erasmus MC,1
info@ankeschrage.nl,info@ankeschrage.nl,1
l.vanrossem@erasmusmc.nl,Erasmus MC,1
lab / Obstetrics and,lab / Obstetrics and,1
nd,nd,1
ricola Van,ricola Van,1
w.niessen@erasmusmc.nl,Erasmus MC,1
yeverdingen@rsm.nl,yeverdingen@rsm.nl,1
