source_row,flagship_id,flagship_title_raw,partner_id,partner_name,partner_category,partner_category_raw,collaboration_types,collaboration_type_raw,start_year,end_year,reporting_period,role_relevance
2,2022001,Integrative Neuromedicine,partner:single-quantum,Single Quantum,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Technologiepartner op labniveau; bijdrage aan kwantum- en detectietechnologie voor neuro-imaging.
3,2022001,Integrative Neuromedicine,partner:ufo-biosciences,UFO Biosciences,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Technologiepartner voor biofysische meetmethoden en validatie.
4,2022001,Integrative Neuromedicine,partner:delmic-bv,Delmic BV,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Ontwikkeling van microscopie- en imagingtechnologie; ondersteuning experimentele infrastructuur.
5,2022001,Integrative Neuromedicine,partner:thermo-fisher-scientific,Thermo Fisher Scientific,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Partner in geavanceerde meet- en analysetechnologie voor experimentele workflows.
6,2022001,Integrative Neuromedicine,partner:necen,NeCEN,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Nationale infrastructuurpartner voor high-end elektronenmicroscopie.
7,2022001,Integrative Neuromedicine,partner:quantib,Quantib,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Partner voor medische beeldanalyse en AI-ondersteunde diagnostiek.
8,2022001,Integrative Neuromedicine,partner:neurasmus,Neurasmus,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Neurotechnologiepartner gericht op klinische toepassingen.
9,2022001,Integrative Neuromedicine,partner:pharming-group-n-v,Pharming Group N.V.,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Farmaceutische partner; betrokken bij validatie en adoptie van imaging- en drug delivery innovaties en economische haalbaarheid richting klinische toepassing
10,2022001,Integrative Neuromedicine,partner:imec,imec,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,"High-tech R&D partner voor chip-, sensor- en imagingtechnologie."
11,2022001,Integrative Neuromedicine,partner:pati-nten-en-pati-ntorganisaties-divers,Patiënten en patiëntorganisaties (divers),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,"Betrokken bij ethische reflectie, maatschappelijke dialoog en advisory board."
12,2022001,Integrative Neuromedicine,partner:young-academy-of-europe,Young Academy of Europe,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Internationaal wetenschappelijk netwerk voor kennisuitwisseling.
13,2022001,Integrative Neuromedicine,partner:association-of-erc-grantees,Association of ERC Grantees,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Netwerk van excellente onderzoekers voor strategische samenwerking.
14,2022001,Integrative Neuromedicine,partner:medical-delta,Medical Delta,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,Regionaal innovatie-ecosysteem zorg & technologie.
15,2022001,Integrative Neuromedicine,partner:delft-health-initiative,Delft Health Initiative,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Interdisciplinair gezondheidsinitiatief.
16,2022001,Integrative Neuromedicine,partner:delft-ai-labs,Delft AI Labs,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,AI-expertise en infrastructuur voor data-gedreven onderzoek.
17,2022001,Integrative Neuromedicine,partner:alzheimer-nederland-alzheimernl,Alzheimer Nederland (AlzheimerNL),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Beleid,Beleid,,,2025,Patiëntenorganisatie; betrokken bij stakeholderdialogen en expertconsultaties over neurologische aandoeningen en maatschappelijke implicaties van onderzoek
18,2022001,Integrative Neuromedicine,partner:deutscher-ethikrat,Deutscher Ethikrat,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Beleid,Beleid,,,2025,"Nationale ethische adviesraad; expert hearing over ‘normality in healthcare’, input geleverd voor ethische en maatschappelijke reflectie rond neuromodulatie en zorg"
19,2022001,Integrative Neuromedicine,partner:ozsw-dutch-research-school-of-philosophy,OZSW – Dutch Research School of Philosophy,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderwijs,Onderwijs,,,2025,
20,2022001,Integrative Neuromedicine,partner:reactor-institute-delft-rid,Reactor Institute Delft (RID),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,,,2025,Faciliteit en kennispartner voor Small-Angle Neutron Scattering (SANS) experimenten; levering van geavanceerde infrastructuur en experimentele data voor nanomedicine- en imagingonderzoek binnen het flagship.
21,2022001,Integrative Neuromedicine,partner:universiteit-van-nederland,Universiteit van Nederland,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderwijs,Onderwijs,,,2025,Publiek / Maatschappelijk-wetenschappelijk platform; disseminatie van flagship-onderzoek via podcastaflevering (“Dimphna ontrafelt het mysterie van ons brein”) gericht op brede maatschappelijke kennisdeling.
22,2022001,Integrative Neuromedicine,partner:els-debats-del-casino-de-granollers,Els Debats del Casino de Granollers,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderwijs,Onderwijs,,,2025,"Internationale Publiek / Maatschappelijks- en mediapartner; organisatie van Publiek / Maatschappelijke lezingen, radio-interview en televisieoptreden over neurotechnologie en flagship-onderzoek."
23,2022001,Integrative Neuromedicine,partner:british-society-for-phenomenology,British Society for Phenomenology,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,,,2025,Internationaal academisch netwerk; platform voor invited presentations en uitwisseling rond filosofische en ethische dimensies van neurologische zorg en normaliteit.
24,2022001,Integrative Neuromedicine,partner:nordic-society-for-phenomenology,Nordic Society for Phenomenology,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,,,2025,Internationaal academisch netwerk; bijdrage aan interdisciplinair debat en disseminatie van humanities-gedreven inzichten uit het flagship.
25,2022012,PROTECt ME,partner:ethica-data-services-inc,Ethica Data Services Inc.,Privaat,privaat,Onderzoek,Onderzoek,2022,,2022,"Levert het digitale platform en technische infrastructuur voor het verzamelen van Experience Sampling data via een mobiele applicatie, en ondersteunt het onderzoek met expertise op het gebied van datacollectie."
26,2022012,PROTECt ME,partner:ijsfontein,IJsfontein,Privaat,privaat,Co-creatie,Co-creatie,2022,,2022,"Betrokken bij de ontwikkeling en implementatie van digitale interventies voor jongeren, waaronder toepassingen binnen bestaande apps, met aandacht voor gebruiksvriendelijkheid en engagement."
27,2022012,PROTECt ME,partner:innovattic,Innovattic,Privaat,privaat,Co-creatie,Co-creatie,2022,,2022,"Draagt bij aan het ontwerp en de doorontwikkeling van digitale toepassingen voor jongeren, met specifieke aandacht voor het volgen en ondersteunen van adolescenten in dagelijkse contexten."
28,2022012,PROTECt ME,partner:generation-r,Generation R,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Biedt toegang tot bestaande populatie- en cohortdata en fungeert als belangrijke onderzoekscontext voor het analyseren en valideren van risicofactoren bij jongeren.
29,2022012,PROTECt ME,partner:municipality-of-rotterdam,Municipality of Rotterdam,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,"Betrokken als Publiek / Maatschappelijke partner met expertise op het gebied van jeugdbeleid en jeugdzorg, en ondersteunt de verbinding tussen onderzoek, praktijk en beleidscontext in stedelijke settings."
30,2022012,PROTECt ME,partner:nvvp-nederlandse-vereniging-voor-psychiatrie,NVvP (Nederlandse Vereniging voor Psychiatrie),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,Brengt professionele expertise vanuit de psychiatrische praktijk in en draagt bij aan de aansluiting van het onderzoek bij klinische richtlijnen en beroepspraktijk.
31,2022012,PROTECt ME,partner:plusminus,PlusMinus,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,"Vertegenwoordigt de ervaringskennis van ouders en jongeren en ondersteunt de betrokkenheid van deze groepen bij focusgroepen, feedbacksessies en disseminatieactiviteiten."
32,2022012,PROTECt ME,partner:mind-mind-young,MIND / MIND Young,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,"Faciliteert de betrokkenheid van jongeren via bestaande netwerken en platforms en ondersteunt werving, feedback en verspreiding van kennis en resultaten onder jongeren."
33,2022012,PROTECt ME,partner:vo-raad,VO-raad,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderwijs,Onderwijs,2022,,2022,"Ondersteunt de verbinding met het voortgezet onderwijs en draagt bij aan disseminatie, co-creatie en afstemming met scholen en onderwijsprofessionals."
34,2022012,PROTECt ME,partner:jantje-beton,Jantje Beton,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,Draagt bij aan het perspectief van kwetsbare jongeren en ondersteunt participatie en empowerment van jeugd binnen onderzoeks- en ontwikkelactiviteiten.
35,2022012,PROTECt ME,partner:ease,@ease,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,Betrokken als laagdrempelige praktijkomgeving voor jongeren en ondersteunt het testen en bespreken van interventies in een niet-klinische setting.
36,2022012,PROTECt ME,partner:b-tasteunpunt-zuid-holland,Bètasteunpunt Zuid-Holland,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderwijs,Onderwijs,2022,,2022,Biedt toegang tot netwerken in het voortgezet onderwijs en ondersteunt educatieve en ontwerpgerichte activiteiten op het snijvlak van onderzoek en onderwijs.
37,2022012,PROTECt ME,partner:wetenschapsknooppunt-delft,Wetenschapsknooppunt Delft,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderwijs,Onderwijs,2022,,2022,Verbindt het project met het primair onderwijs en ondersteunt kennisdeling en educatieve activiteiten gericht op jongeren en leerkrachten.
38,2022012,PROTECt ME,partner:healthy-start-convergence,Healthy Start (Convergence),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,"Wordt genoemd als verwant programma binnen Convergence en fungeert als samenwerkingscontext voor kennisuitwisseling, data-inzichten en opschalingsvraagstukken."
39,2022012,PROTECt ME,partner:ehealthjr,eHealthJr,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,Betrokken bij co-creatie en implementatie van eHealth-activiteiten en fungeert als omgeving voor het testen en doorontwikkelen van digitale toepassingen.
40,2022012,PROTECt ME,partner:synclab-young-experts,SyncLab / Young Experts,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,Ondersteunt co-design met jongeren en draagt bij aan stakeholderbetrokkenheid en participatieve onderzoeksmethoden.
41,2022012,PROTECt ME,partner:student-wellbeing-program,Student wellbeing program,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,Genoemd als context voor implementatie en toepassing van interventies gericht op studentenwelzijn.
