institution_a,institution_b,weight,n_flagships,flagships
Erasmus MC,TU Delft,3556,154,flagship::2022001; flagship::2022002; flagship::2022003; flagship::2022004; flagship::2022005; flagship::2022006; flagship::2022007; flagship::2022008; flagship::2022009; flagship::2022010; flagship::2022011; flagship::2022012; flagship::2022013; flagship::2022014; flagship::2022015; flagship::2022016; flagship::2022017; flagship::2022018; flagship::2022019; flagship::2022020; flagship::2022021; flagship::2022022; flagship::2022023; flagship::2022024; flagship::2022025; flagship::2022026; flagship::2022027; flagship::2022029; flagship::2022030; flagship::2022031; flagship::2022032; flagship::2022033; flagship::2022034; flagship::2022035; flagship::2022036; impuls::impuls_cht01; impuls::impuls_cht02; impuls::impuls_cht03; impuls::impuls_cht04; impuls::impuls_cht05; impuls::impuls_cht06; impuls::impuls_cht07; impuls::impuls_cht08; impuls::impuls_cht09; impuls::impuls_cht10; impuls::impuls_cht11; impuls::impuls_cht12; impuls::impuls_cht13; impuls::impuls_cht14; impuls::impuls_cht15; impuls::impuls_cht16; impuls::impuls_cht17; open-mind::openmind_001; open-mind::openmind_003; open-mind::openmind_004; open-mind::openmind_005; open-mind::openmind_008; open-mind::openmind_009; open-mind::openmind_011; open-mind::openmind_012; open-mind::openmind_014; open-mind::openmind_015; open-mind::openmind_016; open-mind::openmind_018; open-mind::openmind_019; open-mind::openmind_020; open-mind::openmind_021; open-mind::openmind_022; open-mind::openmind_023; open-mind::openmind_024; open-mind::openmind_025; open-mind::openmind_026; open-mind::openmind_027; open-mind::openmind_028; open-mind::openmind_029; open-mind::openmind_030; open-mind::openmind_031; open-mind::openmind_032; open-mind::openmind_034; open-mind::openmind_035; open-mind::openmind_036; open-mind::openmind_037; open-mind::openmind_038; open-mind::openmind_039; open-mind::openmind_040; open-mind::openmind_041; open-mind::openmind_043; open-mind::openmind_044; open-mind::openmind_045; open-mind::openmind_046; open-mind::openmind_047; open-mind::openmind_049; open-mind::openmind_050; open-mind::openmind_053; open-mind::openmind_054; open-mind::openmind_055; open-mind::openmind_056; open-mind::openmind_057; open-mind::openmind_058; open-mind::openmind_059; open-mind::openmind_061; open-mind::openmind_062; open-mind::openmind_065; open-mind::openmind_066; open-mind::openmind_067; open-mind::openmind_068; open-mind::openmind_070; open-mind::openmind_072; open-mind::openmind_073; open-mind::openmind_074; open-mind::openmind_076; open-mind::openmind_077; open-mind::openmind_078; open-mind::openmind_079; open-mind::openmind_080; open-mind::openmind_081; open-mind::openmind_082; open-mind::openmind_083; open-mind::openmind_084; open-mind::openmind_085; open-mind::openmind_086; open-mind::openmind_089; open-mind::openmind_090; open-mind::openmind_091; open-mind::openmind_092; open-mind::openmind_094; open-mind::openmind_095; open-mind::openmind_096; open-mind::openmind_097; open-mind::openmind_098; open-mind::openmind_099; open-mind::openmind_100; open-mind::openmind_101; open-mind::openmind_102; open-mind::openmind_106; open-mind::openmind_107; open-mind::openmind_109; open-mind::openmind_110; open-mind::openmind_111; open-mind::openmind_112; open-mind::openmind_113; open-mind::openmind_114; open-mind::openmind_115; open-mind::openmind_116; open-mind::openmind_117; open-mind::openmind_118; open-mind::openmind_119; open-mind::openmind_120; open-mind::openmind_122; open-mind::openmind_124; open-mind::openmind_125; sustainable-health-programs::shp-smart-or2030; sustainable-health-programs::shp-technological-innovations-for-nurses; sustainable-health-programs::shp-zero-emission-endoscopy
Erasmus MC,Erasmus University Rotterdam,2651,72,flagship::2022001; flagship::2022002; flagship::2022003; flagship::2022004; flagship::2022005; flagship::2022006; flagship::2022007; flagship::2022008; flagship::2022009; flagship::2022010; flagship::2022011; flagship::2022012; flagship::2022013; flagship::2022014; flagship::2022015; flagship::2022016; flagship::2022017; flagship::2022018; flagship::2022019; flagship::2022020; flagship::2022021; flagship::2022022; flagship::2022023; flagship::2022024; flagship::2022025; flagship::2022026; flagship::2022027; flagship::2022028; flagship::2022029; flagship::2022030; flagship::2022031; flagship::2022032; flagship::2022033; flagship::2022034; flagship::2022035; flagship::2022036; open-mind::openmind_002; open-mind::openmind_007; open-mind::openmind_010; open-mind::openmind_011; open-mind::openmind_013; open-mind::openmind_014; open-mind::openmind_023; open-mind::openmind_027; open-mind::openmind_028; open-mind::openmind_034; open-mind::openmind_041; open-mind::openmind_042; open-mind::openmind_052; open-mind::openmind_056; open-mind::openmind_059; open-mind::openmind_061; open-mind::openmind_062; open-mind::openmind_064; open-mind::openmind_074; open-mind::openmind_075; open-mind::openmind_082; open-mind::openmind_087; open-mind::openmind_088; open-mind::openmind_093; open-mind::openmind_096; open-mind::openmind_100; open-mind::openmind_106; open-mind::openmind_109; open-mind::openmind_111; open-mind::openmind_113; open-mind::openmind_115; open-mind::openmind_119; open-mind::openmind_120; sustainable-health-programs::shp-smart-or2030; sustainable-health-programs::shp-technological-innovations-for-nurses; sustainable-health-programs::shp-zero-emission-endoscopy
Erasmus University Rotterdam,TU Delft,1297,63,flagship::2022001; flagship::2022002; flagship::2022003; flagship::2022004; flagship::2022005; flagship::2022006; flagship::2022007; flagship::2022008; flagship::2022009; flagship::2022010; flagship::2022011; flagship::2022012; flagship::2022013; flagship::2022014; flagship::2022015; flagship::2022016; flagship::2022017; flagship::2022018; flagship::2022019; flagship::2022020; flagship::2022021; flagship::2022022; flagship::2022023; flagship::2022024; flagship::2022025; flagship::2022026; flagship::2022027; flagship::2022029; flagship::2022030; flagship::2022031; flagship::2022032; flagship::2022033; flagship::2022034; flagship::2022035; flagship::2022036; open-mind::openmind_011; open-mind::openmind_014; open-mind::openmind_017; open-mind::openmind_023; open-mind::openmind_027; open-mind::openmind_028; open-mind::openmind_034; open-mind::openmind_041; open-mind::openmind_056; open-mind::openmind_059; open-mind::openmind_060; open-mind::openmind_061; open-mind::openmind_062; open-mind::openmind_074; open-mind::openmind_082; open-mind::openmind_096; open-mind::openmind_100; open-mind::openmind_103; open-mind::openmind_106; open-mind::openmind_109; open-mind::openmind_111; open-mind::openmind_113; open-mind::openmind_115; open-mind::openmind_119; open-mind::openmind_120; sustainable-health-programs::shp-smart-or2030; sustainable-health-programs::shp-technological-innovations-for-nurses; sustainable-health-programs::shp-zero-emission-endoscopy
Erasmus MC,Multiple core institutions,375,13,flagship::2022005; flagship::2022011; flagship::2022012; flagship::2022013; flagship::2022014; flagship::2022016; flagship::2022018; flagship::2022020; flagship::2022021; flagship::2022023; flagship::2022024; flagship::2022032; flagship::2022035
Multiple core institutions,TU Delft,179,13,flagship::2022005; flagship::2022011; flagship::2022012; flagship::2022013; flagship::2022014; flagship::2022016; flagship::2022018; flagship::2022020; flagship::2022021; flagship::2022023; flagship::2022024; flagship::2022032; flagship::2022035
Erasmus MC,Microsoft,123,1,flagship::2022003
Erasmus University Rotterdam,Multiple core institutions,122,13,flagship::2022005; flagship::2022011; flagship::2022012; flagship::2022013; flagship::2022014; flagship::2022016; flagship::2022018; flagship::2022020; flagship::2022021; flagship::2022023; flagship::2022024; flagship::2022032; flagship::2022035
Erasmus MC,Unknown,93,25,flagship::2022026; open-mind::openmind_002; open-mind::openmind_005; open-mind::openmind_006; open-mind::openmind_012; open-mind::openmind_020; open-mind::openmind_036; open-mind::openmind_042; open-mind::openmind_050; open-mind::openmind_056; open-mind::openmind_062; open-mind::openmind_069; open-mind::openmind_070; open-mind::openmind_072; open-mind::openmind_076; open-mind::openmind_087; open-mind::openmind_097; open-mind::openmind_100; open-mind::openmind_102; open-mind::openmind_104; open-mind::openmind_111; open-mind::openmind_112; open-mind::openmind_116; open-mind::openmind_120; open-mind::openmind_124
Approach ed and interested,Erasmus MC,87,1,flagship::2022009
TU Delft,Unknown,84,20,flagship::2022026; open-mind::openmind_005; open-mind::openmind_012; open-mind::openmind_020; open-mind::openmind_036; open-mind::openmind_050; open-mind::openmind_056; open-mind::openmind_060; open-mind::openmind_062; open-mind::openmind_070; open-mind::openmind_072; open-mind::openmind_076; open-mind::openmind_097; open-mind::openmind_100; open-mind::openmind_102; open-mind::openmind_111; open-mind::openmind_112; open-mind::openmind_116; open-mind::openmind_120; open-mind::openmind_124
